id,statusList,epoca,dataList,horaList,comentariosList,ok,detErro,statusDet,dataDet,horaDet,comentariosDetHtml,comentariosCanon,comentCanonErro,dataDivergente,dataDeltaDias,horaDivergente,horaDeltaMin,comentDivergente,comentZeroEspurio
161,encerrado,historico,2013-04-12,14:06,0,true,,encerrado,2013-04-12,14:00,0,7,,false,0,true,6,true,true
1381,encerrado,historico,2013-12-16,09:12,0,true,,encerrado,2013-12-16,09:00,0,0,,false,0,true,12,false,false
1525,encerrado,historico,2014-03-27,09:12,0,true,,encerrado,2014-03-27,09:12,0,3,,false,0,false,0,true,true
2601,encerrado,historico,2014-09-03,14:08,0,true,,encerrado,2014-09-03,14:00,0,7,,false,0,true,8,true,true
2745,cancelado,historico,2014-10-30,00:00,0,true,,cancelado,2014-10-30,10:00,0,0,,false,0,true,-600,false,false
3122,encerrado,historico,2014-12-15,14:45,0,true,,encerrado,2014-12-15,14:00,0,1,,false,0,true,45,true,true
4270,encerrado,historico,2015-06-30,00:00,0,true,,encerrado,2015-06-30,09:00,0,0,,false,0,true,-540,false,false
4486,encerrado,historico,2015-08-05,10:25,0,true,,encerrado,2015-08-05,10:00,0,1,,false,0,true,25,true,true
4808,encerrado,historico,2015-08-24,19:41,0,true,,encerrado,2015-08-24,19:30,0,10,,false,0,true,11,true,true
4952,encerrado,historico,2015-09-09,00:00,0,true,,encerrado,2015-09-09,09:00,0,0,,false,0,true,-540,false,false
5706,encerrado,historico,2015-11-17,10:52,0,true,,encerrado,2015-11-17,10:00,0,5,,false,0,true,52,true,true
5846,cancelado,historico,2015-11-25,00:00,0,true,,cancelado,2015-11-25,09:00,0,0,,false,0,true,-540,false,false
5867,cancelado,historico,2015-12-01,00:00,0,true,,cancelado,2015-12-01,14:30,0,0,,false,0,true,-870,false,false
6388,encerrado,historico,2016-03-15,10:33,0,true,,encerrado,2016-03-15,10:00,0,25,,false,0,true,33,true,true
6549,encerrado,historico,2016-03-28,09:05,0,true,,encerrado,2016-03-28,09:00,0,9,,false,0,true,5,true,true
6693,encerrado,historico,2016-04-11,15:00,0,true,,encerrado,2016-04-11,15:00,0,7,,false,0,false,0,true,true
7858,cancelado,historico,2016-07-07,00:00,0,true,,cancelado,2016-07-07,10:30,0,49,,false,0,true,-630,true,true
7913,encerrado,historico,2016-07-12,10:29,0,true,,encerrado,2016-07-12,10:00,0,9,,false,0,true,29,true,true
8197,cancelado,historico,2016-08-09,00:00,0,true,,cancelado,2016-08-09,09:45,0,0,,false,0,true,-585,false,false
8756,encerrado,historico,2016-09-09,14:15,0,true,,encerrado,2016-09-09,14:00,0,0,,false,0,true,15,false,false
8917,cancelado,historico,2016-09-14,00:00,0,true,,cancelado,2016-09-14,00:00,0,0,,false,0,false,0,false,false
9976,encerrado,historico,2016-11-28,10:24,0,true,,encerrado,2016-11-28,10:00,0,21,,false,0,true,24,true,true
10192,encerrado,historico,2016-12-14,10:39,0,true,,encerrado,2016-12-14,10:00,0,1,,false,0,true,39,true,true
10459,cancelado,historico,2017-03-22,14:30,0,true,,cancelado,2017-03-22,14:30,0,18,,false,0,false,0,true,true
10497,encerrado,historico,2017-03-27,18:00,0,true,,encerrado,2017-03-27,18:00,0,8,,false,0,false,0,true,true
11302,cancelado,historico,2017-06-27,09:00,0,true,,cancelado,,,0,0,,,,,,false,false
11556,encerrado,historico,2017-08-02,09:04,0,true,,encerrado,2017-08-02,09:00,0,3,,false,0,true,4,true,true
11717,encerrado,historico,2017-08-22,09:03,0,true,,encerrado,2017-08-22,09:00,0,1,,false,0,true,3,true,true
11789,encerrado,historico,2017-08-31,18:50,0,true,,encerrado,2017-08-31,18:00,0,0,,false,0,true,50,false,false
11950,encerrado,historico,2017-09-19,14:46,0,true,,encerrado,2017-09-19,14:00,0,11,,false,0,true,46,true,true
12145,cancelado,historico,2017-10-07,10:00,0,true,,cancelado,,,0,10,,,,,,true,true
12255,encerrado,historico,2017-10-16,18:02,0,true,,encerrado,2017-10-16,18:00,0,5,,false,0,true,2,true,true
12399,encerrado,historico,2017-11-10,14:05,0,true,,encerrado,2017-11-10,14:00,0,4,,false,0,true,5,true,true
13314,encerrado,historico,2018-04-04,10:00,0,true,,encerrado,2018-04-04,10:00,0,5,,false,0,false,0,true,true
13547,encerrado,historico,2018-05-09,10:26,0,true,,encerrado,2018-05-09,10:15,0,4,,false,0,true,11,true,true
13670,cancelado,historico,2018-05-22,09:00,0,true,,cancelado,,,0,0,,,,,,false,false
13691,encerrado,historico,2018-05-30,10:04,0,true,,encerrado,2018-05-30,10:05,0,4,,false,0,true,-1,true,true
13814,cancelado,historico,2018-06-25,16:00,0,true,,cancelado,2018-06-25,16:00,0,8,,false,0,false,0,true,true
13835,encerrado,historico,2018-06-26,10:58,0,true,,encerrado,2018-06-26,10:30,0,1,,false,0,true,28,true,true
15127,encerrado,intermediario,2019-03-18,10:16,0,true,,encerrado,2019-03-18,10:00,0,7,,false,0,true,16,true,true
15288,encerrado,intermediario,2019-03-27,09:12,0,true,,encerrado,2019-03-27,09:12,0,0,,false,0,false,0,false,false
15517,cancelado,intermediario,2019-04-23,10:00,0,true,,cancelado,,,0,0,,,,,,false,false
15970,encerrado,intermediario,2019-06-11,08:47,0,true,,encerrado,2019-06-11,08:30,0,50,,false,0,true,17,true,true
16131,encerrado,intermediario,2019-08-14,09:23,0,true,,encerrado,2019-08-14,09:00,0,5,,false,0,true,23,true,true
16347,encerrado,intermediario,2019-07-16,09:31,0,true,,encerrado,2019-07-16,09:00,0,8,,false,0,true,31,true,true
16580,encerrado,intermediario,2019-08-21,11:20,0,true,,encerrado,2019-08-21,11:00,0,8,,false,0,true,20,true,true
16652,encerrado,intermediario,2019-08-28,09:38,0,true,,encerrado,2019-08-28,09:00,0,6,,false,0,true,38,true,true
17190,encerrado,intermediario,2019-10-21,15:01,0,true,,encerrado,2019-10-21,15:00,0,48,,false,0,true,1,true,true
17334,encerrado,intermediario,2019-11-05,14:32,0,true,,encerrado,2019-11-05,14:30,0,19,,false,0,true,2,true,true
17368,cancelado,intermediario,2019-11-12,09:00,0,true,,cancelado,2019-11-12,09:00,0,10,,false,0,false,0,true,true
17495,encerrado,intermediario,2019-11-26,09:00,0,true,,encerrado,2019-11-26,09:00,0,15,,false,0,false,0,true,true
17567,encerrado,intermediario,2019-12-04,13:58,0,true,,encerrado,2019-12-04,14:00,0,15,,false,0,true,-2,true,true
17728,encerrado,intermediario,2019-12-09,15:17,0,true,,encerrado,2019-12-09,15:17,0,16,,false,0,false,0,true,true
17872,encerrado,intermediario,2020-02-11,09:20,0,true,,encerrado,2020-02-11,09:05,0,1,,false,0,true,15,true,true
18067,cancelado,intermediario,2020-03-12,15:00,0,true,,cancelado,2020-03-12,15:00,0,4,,false,0,false,0,true,true
18156,cancelado,intermediario,2020-03-17,14:00,0,true,,cancelado,2020-03-17,14:00,0,0,,false,0,false,0,false,false
18787,encerrado,intermediario,2020-08-13,10:00,0,true,,encerrado,2020-08-13,10:00,0,33,,false,0,false,0,true,true
20007,encerrado,intermediario,2021-03-15,09:01,0,true,,encerrado,2021-03-15,09:00,0,5,,false,0,true,1,true,true
20130,cancelado,intermediario,2021-04-06,09:00,0,true,,cancelado,2021-04-06,09:00,0,0,,false,0,false,0,false,false
22430,encerrado,intermediario,2021-12-01,14:00,0,true,,encerrado,2021-12-01,14:00,0,10,,false,0,false,0,true,true
22824,cancelado,intermediario,2022-04-05,10:25,0,true,,cancelado,2022-04-05,10:00,0,5,,false,0,true,25,true,true
23040,encerrado,intermediario,2022-04-12,10:27,0,true,,encerrado,2022-04-12,10:30,0,99,,false,0,true,-3,true,true
23201,encerrado,intermediario,2022-05-11,09:43,0,true,,encerrado,2022-05-12,09:00,0,0,,true,-1,true,43,false,false
23722,encerrado,intermediario,2022-06-24,09:06,0,true,,encerrado,2022-06-24,09:06,0,10,,false,0,false,0,true,true
23900,cancelado,intermediario,2022-07-14,09:30,0,true,,cancelado,2022-07-14,09:30,0,17,,false,0,false,0,true,true
24260,encerrado,intermediario,2022-09-30,09:00,0,true,,encerrado,2022-09-30,09:00,0,21,,false,0,false,0,true,true
24942,cancelado,recente,2023-03-25,08:00,0,true,,cancelado,2023-03-25,08:00,0,18,,false,0,false,0,true,true
25247,encerrado,recente,2023-05-02,10:20,0,true,,encerrado,2023-05-02,10:00,0,27,,false,0,true,20,true,true
25408,encerrado,recente,2023-05-16,09:00,0,true,,encerrado,2023-05-16,09:00,0,9,,false,0,false,0,true,true
25480,encerrado,recente,2023-06-15,10:20,0,true,,encerrado,2023-06-15,10:00,0,8,,false,0,true,20,true,true
25785,encerrado,recente,2023-07-06,10:15,0,true,,encerrado,2023-07-06,10:00,0,4,,false,0,true,15,true,true
26001,encerrado,recente,2023-08-08,09:05,0,true,,encerrado,2023-08-08,09:05,0,84,,false,0,false,0,true,true
26162,encerrado,recente,2023-08-22,14:00,0,true,,encerrado,2023-08-22,14:00,0,116,,false,0,false,0,true,true
26467,encerrado,recente,2023-09-26,09:00,0,true,,encerrado,2023-09-26,09:00,0,87,,false,0,false,0,true,true
26628,encerrado,recente,2023-10-18,13:10,0,true,,encerrado,2023-10-18,13:00,0,345,,false,0,true,10,true,true
26683,encerrado,recente,2023-10-26,15:00,0,true,,encerrado,2023-10-26,15:00,0,57,,false,0,false,0,true,true
26700,encerrado,recente,2023-10-26,10:00,0,true,,encerrado,2023-10-26,10:00,0,68,,false,0,false,0,true,true
27005,encerrado,recente,2023-11-29,09:00,0,true,,encerrado,2023-11-29,09:00,0,97,,false,0,false,0,true,true
27920,encerrado,recente,2024-04-16,09:30,0,true,,encerrado,2024-04-16,09:30,0,58,,false,0,false,0,true,true
28280,cancelado,recente,2024-04-10,10:30,0,true,,cancelado,2024-04-10,10:30,0,83,,false,0,false,0,true,true
29500,encerrado,recente,2024-06-13,10:35,0,true,,encerrado,2024-06-13,10:00,0,67,,false,0,true,35,true,true
30720,cancelado,recente,2025-04-16,08:25,0,true,,cancelado,,,0,73,,,,,,true,true
31940,encerrado,recente,2024-11-04,09:35,0,true,,encerrado,2024-11-04,14:00,0,148,,false,0,true,-265,true,true
32766,encerrado,recente,2025-08-12,09:15,0,true,,encerrado,2025-08-12,09:00,0,67,,false,0,true,15,true,true
33160,encerrado,recente,2025-04-01,09:20,0,true,,encerrado,2025-04-01,09:00,0,21,,false,0,true,20,true,true
34452,encerrado,recente,2025-07-08,09:30,0,true,,encerrado,2025-07-08,09:00,0,38,,false,0,true,30,true,true
34524,encerrado,recente,2025-07-09,14:30,0,true,,encerrado,2025-07-09,14:30,0,70,,false,0,false,0,true,true
34685,encerrado,recente,2025-08-13,09:00,0,true,,encerrado,2025-08-13,09:00,0,22,,false,0,false,0,true,true
36049,encerrado,recente,2025-10-14,14:30,0,true,,encerrado,2025-10-14,14:30,0,21,,false,0,false,0,true,true
36265,cancelado,recente,2025-10-22,10:30,0,true,,cancelado,2025-10-22,10:30,0,56,,false,0,false,0,true,true
37629,encerrado,recente,2026-02-26,09:35,0,true,,encerrado,2026-02-26,09:00,0,59,,false,0,true,35,true,true
